,K0,K1,K2,K3,K4,K5,K6,K7,K8,K9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80,U81,U82,U83,U84,U85,U86,U87,U88,U89,U90,U91,U92,U93,U94,U95,U96,U97,U98,U99
Sample10,363.059,26.851,7.235,5.476,981.246,2623.562,263.089,851.408,125.274,3206.265,1246.151,3.659,1749.562,2.709,738.488,13.934,2085.976,122.599,30.697,65.274,5.411,9.479,644.054,465.838,232.666,43.347,5599.516,2965.031,368.9,325.644,580.899,68.269,12.335,615.749,165.678,43.531,140.912,2200.598,3778.607,45.128,241.52,46.39,396.145,38.313,59.12,2900.651,14.236,404.544,8.505,1627.502,747.448,22.251,1396.704,6.862,33.72,12.874,121.232,883.14,28.816,5.835,69.092,13.488,8.734,358.036,41.018,386.662,14.583,3217.548,72.854,9.536,318.04,3245.232,67.292,2184.749,191.279,100.311,365.654,5329.434,3825.046,140.028,1014.838,130.822,141.455,1048.674,92.979,697.002,613.598,3517.072,9.819,671.685,2690.91,3416.542,4.321,1527.537,5462.887,3164.218,7.546,4344.795,2670.508,1450.374
Sample11,389.44,21.065,6.694,6.401,1035.678,2758.735,285.156,870.798,117.073,3211.829,1591.046,3.831,1754.553,4.716,861.705,15.155,2333.372,129.142,45.259,80.865,5.63,12.352,587.732,440.229,250.142,55.835,5138.421,3083.305,415.268,333.837,573.419,75.185,14.48,782.308,182.816,40.317,169.251,2301.196,3636.687,44.936,237.608,44.461,341.251,40.862,62.108,2836.369,16.168,383.313,8.012,1835.105,565.274,17.084,1404.056,7.863,35.378,12.902,140.256,657.857,25.625,5.048,70.192,18.479,8.506,296.798,43.467,413.107,12.888,4043.228,69.678,9.061,251.872,3888.916,88.843,2517.748,196.063,81.352,376.393,6590.513,4031.734,117.587,1064.545,116.546,130.749,1133.605,76.81,556.258,698.136,3868.217,10.175,725.559,2011.098,3511.674,4.886,1200.883,5597.589,3095.526,8.137,4480.656,2864.675,1278.968
Sample12,349.804,20.209,6.6,6.551,1260.018,2881.299,231.037,995.917,117.952,3118.771,1442.162,2.826,1915.741,4.606,886.264,15.597,2183.602,152.297,43.62,44.676,5.478,8.957,647.584,393.527,257.434,35.597,6067.849,3240.664,400.165,340.765,543.174,68.764,13.206,597.187,160.655,31.63,153.559,2550.476,3578.797,63.578,238.747,40.029,316.453,40.697,57.896,3032.629,12.196,403.581,8.054,1531.104,807.991,24.241,1396.337,8.85,29.256,14.91,115.527,859.491,29.002,4.992,59.575,17.229,8.893,324.504,37.506,378.645,12.457,3486.812,79.831,9.098,262.075,4065.842,78.719,2233.606,172.995,106.013,310.47,5368.023,4388.439,134.24,952.715,118.747,130.612,1084.099,92.53,638.658,645.366,3582.1,11.079,796.008,2352.108,3207.24,4.853,1579.743,5460.444,3428.99,9.599,3699.935,2738.205,1345.805
Sample13,401.308,31.8,8.324,6.04,1043.19,2755.353,266.615,920.927,100.514,3649.119,1272.753,3.852,1740.937,3.934,686.175,14.604,2140.893,139.164,38.295,63.143,4.217,10.194,628.714,364.443,275.164,46.169,5389.089,3033.903,382.066,325.094,501.952,69.04,11.659,767.6,180.992,34.612,154.007,2632.721,3702.413,32.39,289.096,48.548,374.477,35.6,57.455,2751.68,15.827,443.702,8.513,1677.247,983.246,21.552,1334.052,7.972,41.265,15.133,128.462,547.478,29.996,2.81,64.781,19.12,6.979,313.409,40.599,395.131,17.637,3527.383,70.289,9.946,308.365,3733.517,89.602,2241.731,188.968,121.676,407.919,4879.733,3584.44,128.244,1040.263,121.071,122.881,1273.108,83.158,373.631,478.928,3444.837,10.276,838.084,1913.45,3673.468,5.35,1033.583,5125.68,3017.26,8.586,4150.2,2589.364,1366.827
Sample14,355.426,19.367,6.63,5.925,963.248,3042.627,322.257,970.737,136.779,3205.236,1393.579,4.246,2029.31,3.408,776.203,14.908,2779.821,126.327,45.773,57.191,5.64,9.481,648.884,353.256,270.679,42.493,5723.469,3375.207,272.979,289.43,660.274,72.457,13.567,636.331,139.856,39.258,141.963,2469.046,3448.05,49.095,214.059,50.345,356.539,30.672,76.349,2694.287,15.852,420.552,7.267,1836.184,720.844,24.164,1560.261,7.471,39.99,14.428,130.524,691.704,26.025,4.178,67.317,15.307,8.094,343.186,41.711,465.434,13.169,3829.581,71.171,10.372,279.045,3438.177,84.246,2501.002,187.932,102.007,352.079,5586.933,3812.349,122.748,1001.851,109.624,120.068,1100.475,94.494,562.871,494.528,3416.583,10.752,601.645,2250.273,3513.46,4.379,1185.032,5525.907,3525.121,6.002,4669.642,2698.518,1472.304
Sample15,419.413,19.499,7.104,6.934,1122.097,2253.281,310.698,906.322,131.797,2972.355,1620.242,2.518,1783.57,3.805,885.298,17.689,2455.478,146.323,46.541,62.506,4.597,12.345,660.282,389.013,253.415,60.952,5975.735,3338.415,408.999,430.136,482.809,69.853,12.284,659.355,125.871,34.744,157.935,2187.75,4038.064,51.212,235.655,45.898,295.317,35.019,63.869,2879.064,15.657,388.233,6.953,1761.185,692.742,24.156,1672.289,6.524,39.208,16.081,125.594,805.036,27.833,4.715,64.282,16.427,8.888,340.164,44.667,454.793,17.136,3568.655,68.859,8.723,340.233,4066.762,93.592,3194.583,173.498,115.778,312.73,5236.139,4240.627,130.928,1021.493,137.156,130.398,977.795,88.678,542.312,435.19,3070.911,11.469,655.391,1950.578,3562.589,5.008,1382.929,4854.093,3375.293,8.681,4685.075,2868.226,1373.226
Sample16,389.562,28.594,6.72,6.639,1185.201,2417.267,249.461,821.412,148.499,3414.809,1087.849,3.631,2054.721,4.066,836.32,14.684,2355.744,129.353,44.783,63.372,4.388,9.588,704.823,438.22,271.14,47.481,5481.848,3999.495,341.889,321.878,539.14,62.953,13.367,799.88,141.141,35.893,142.79,2210.552,3909.881,49.188,243.087,41.262,310.98,34.248,63.96,2923.394,16.098,440.656,6.305,1635.512,741.687,22.544,1276.625,7.973,36.23,14.129,113.821,848.566,28.499,4.597,58.268,12.84,8.262,316.12,44.083,432.431,12.265,3489.463,58.647,8.572,338.601,3644.185,69.754,2749.528,173.177,114.126,343.521,5711.377,4146.057,128.982,1130.856,109.354,153.356,1181.619,84.585,567.132,566.71,3229.756,9.884,788.508,1733.712,3808.974,5.337,1345.309,5967.934,3196.739,8.677,4312.057,2940.861,1517.051
Sample17,340.414,18.824,7.249,6.822,858.819,2854.418,280.105,881.713,104.432,3323.037,1468.518,3.358,1949.915,3.973,690.338,15.684,2355.831,129.168,47.65,47.497,3.662,10.193,583.977,443.509,228.726,58.55,5250.264,3618.16,334.282,385.826,536.898,69.193,13.964,734.061,148.248,26.387,161.805,2076.257,3762.982,42.178,263.342,46.738,363.391,31.641,63.875,2845.608,14.179,455.609,7.516,1791.79,796.604,19.838,1262.793,8.289,40.045,15.984,124.474,745.165,25.424,4.099,57.072,16.863,8.046,281.673,35.406,326.064,11.343,3595.685,72.471,9.766,292.514,3292.206,80.535,2433.248,176.763,106.661,421.259,5704.005,3962.029,136.036,1007.253,127.101,120.159,1057.089,96.16,516.204,590.168,3783.317,12.493,715.094,2383.615,3260.684,5.602,1250.622,4667.767,3572.343,7.655,4268.423,2793.867,1638.315
Sample18,363.825,26.12,6.953,6.778,868.102,2426.339,244.399,946.384,136.693,3072.066,1247.045,3.48,1981.058,3.607,780.489,15.144,2545.039,132.667,45.744,73.363,5.565,11.449,637.841,454.846,268.814,53.655,5689.917,3567.34,416.162,295.034,543.617,66.002,13.131,737.418,142.221,32.987,157.332,2307.931,3984.633,54.125,237.429,48.767,327.19,35.306,73.246,3052.863,15.207,429.509,8.193,1788.055,814.938,21.53,1413.462,7.348,43.794,13.852,129.832,828.833,27.863,3.736,74.36,16.997,7.943,315.926,40.72,388.413,15.301,3547.437,70.584,9.545,260.845,3554.163,76.615,2489.364,169.786,111.959,317.625,5139.386,4133.02,128.742,989.673,99.838,137.111,1080.256,95.741,570.337,561.714,3279.076,10.558,765.423,2197.378,3920.622,4.798,1322.958,5470.462,3437.451,7.867,3878.344,2418.281,1527.606
Sample19,395.823,26.328,5.613,5.172,957.278,2368.216,297.725,859.92,162.72,3266.518,1402.367,2.622,2121.23,4.428,685.496,15.654,2453.925,168.584,45.905,57.504,4.696,9.311,624.629,441.118,290.523,55.641,5259.891,3116.866,349.198,232.639,612.535,73.3,15.033,732.345,143.859,29.428,142.838,2314.93,3471.996,48.124,252.587,41.872,337.863,35.469,54.185,2677.764,10.109,422.151,7.271,1758.518,523.843,19.959,1172.82,7.169,40.423,13.722,134.089,860.388,23.687,3.848,74.672,17.0,9.702,309.927,44.768,388.687,14.588,3951.797,65.591,10.042,294.153,3346.294,70.421,2898.552,178.33,95.647,413.038,6016.909,3919.25,132.172,1081.625,105.519,158.741,1042.418,90.737,688.481,570.155,3628.496,11.719,808.246,2024.11,4629.348,4.788,1538.919,6018.65,3504.698,9.274,4639.049,2617.869,1242.105
Sample20,337.069,21.539,6.708,7.102,1077.301,2303.158,275.413,864.488,162.018,3381.319,1365.405,3.88,1984.533,4.264,776.653,14.251,2207.255,131.586,47.157,58.43,4.42,9.848,550.052,438.283,285.225,54.093,5264.376,3192.056,338.456,265.167,619.826,62.185,12.974,679.009,155.695,31.294,162.545,2469.762,3701.337,39.505,255.664,39.438,354.691,41.549,67.269,2199.905,16.743,417.044,7.578,1567.512,852.274,19.179,1488.671,7.594,46.762,15.003,141.576,747.902,29.295,3.833,70.042,16.328,8.304,308.91,41.079,361.425,16.89,3864.797,62.38,7.54,292.947,3893.119,82.373,3165.0,149.829,95.005,363.52,6126.886,4106.307,125.851,938.696,120.613,142.008,1225.199,82.662,619.267,574.036,3736.267,10.751,764.399,2114.92,3679.429,5.077,1431.815,4858.316,3510.153,8.594,5087.256,2996.642,1289.709
Sample21,364.533,22.533,7.59,6.495,959.044,2435.716,291.644,797.264,149.396,3657.425,1706.116,3.246,1594.635,4.539,770.582,14.037,2447.005,119.458,45.936,63.439,4.061,10.477,600.084,352.163,262.184,64.117,5117.798,3144.67,308.682,302.758,491.391,72.075,15.242,755.492,117.654,30.939,184.655,2222.285,3794.159,52.529,268.995,47.385,335.798,34.157,63.796,2565.992,12.709,402.754,7.431,2118.529,521.643,20.385,1234.171,7.009,35.752,15.045,120.803,806.692,29.501,4.949,60.27,15.833,8.221,301.778,44.43,399.583,15.752,3665.919,69.057,7.452,248.787,3563.038,77.544,2961.215,194.439,95.136,405.83,4791.215,4156.733,95.123,1173.445,111.029,130.576,1081.453,93.838,667.779,426.799,3705.008,9.542,782.389,2091.486,3165.928,5.223,1168.358,5158.045,3568.139,6.895,3848.807,2821.558,1520.317
Sample22,298.923,18.297,6.882,6.847,1250.141,2184.674,243.436,935.561,71.227,3229.47,1427.295,3.702,2320.031,3.905,690.16,15.758,2293.883,128.99,37.429,48.031,4.376,10.196,602.044,396.082,235.691,63.732,5633.322,3015.424,379.289,385.776,504.916,75.948,13.063,690.036,141.798,37.09,116.293,2460.419,3783.772,53.272,196.179,44.663,345.569,39.623,55.203,2626.916,14.781,429.12,7.82,1475.583,782.491,21.132,1351.493,7.839,41.943,15.702,131.633,792.603,26.15,4.275,71.064,16.111,8.676,302.819,39.798,409.499,15.242,3789.842,69.89,8.607,371.982,3558.838,70.225,2725.881,148.052,93.991,332.054,5635.593,3817.311,132.838,973.647,106.318,153.301,1128.889,83.345,627.037,665.993,3889.432,9.684,552.59,2217.593,3728.258,5.231,1255.941,5525.329,3233.877,9.981,4150.49,2835.306,1439.031
Sample23,370.136,25.157,7.576,7.519,961.232,2116.923,288.856,900.661,161.632,3773.748,1234.425,3.535,1960.887,3.886,894.074,13.567,1985.745,127.969,43.126,45.555,4.382,8.904,673.784,381.411,266.884,53.282,6189.267,3090.845,453.691,309.188,596.985,75.949,13.372,622.219,131.499,31.269,156.02,2323.198,3810.409,53.775,192.535,39.989,312.941,31.355,62.396,2804.379,17.779,388.118,8.38,1460.379,758.175,22.137,1086.624,6.59,40.028,14.957,114.969,753.812,29.053,5.058,63.707,15.347,8.115,306.84,37.587,409.202,15.525,3412.299,69.434,10.15,312.882,3745.594,71.759,2621.928,187.935,88.312,344.366,6369.85,4550.94,126.165,1005.242,123.947,110.584,1019.251,99.772,521.149,543.437,3984.436,10.366,738.044,2481.689,3419.44,4.696,1159.795,5193.031,3847.899,9.065,4038.645,2669.733,1466.744
Sample24,333.642,21.412,6.552,7.519,922.653,2525.398,279.369,776.15,140.481,3551.849,1274.452,2.949,1845.793,3.894,868.848,16.944,2366.016,128.921,43.492,52.834,4.803,11.249,618.17,427.829,249.36,57.591,5772.777,3778.781,416.562,261.433,518.27,61.757,13.389,694.161,149.026,35.033,149.974,2078.115,3554.164,50.435,246.398,46.418,348.293,34.156,73.908,2640.515,16.065,436.919,8.785,1591.033,659.192,24.955,1764.318,7.708,36.702,13.597,122.183,817.407,23.084,5.003,76.546,16.583,8.954,341.715,40.434,321.64,17.77,3578.42,67.75,9.293,257.02,3861.007,78.122,2089.835,186.45,97.21,345.457,5375.387,4096.777,138.272,1012.72,113.115,144.692,1162.56,101.146,447.933,550.831,3299.611,8.983,761.587,2350.426,3808.228,5.539,1356.777,5007.798,3401.791,7.829,3994.202,2420.232,1192.9
Sample25,309.915,28.139,7.519,7.108,1118.61,2241.874,331.951,989.706,109.165,3470.101,1530.962,2.803,1861.661,4.432,842.614,18.073,2440.511,151.198,43.466,49.561,5.103,9.694,575.113,369.976,312.616,59.171,5806.972,3232.194,439.49,332.1,496.171,78.751,13.494,713.62,129.695,36.444,170.972,2370.389,3113.923,49.08,236.398,46.496,317.582,35.135,57.306,2746.749,13.744,419.057,7.601,1782.51,684.363,20.936,1351.643,6.956,40.874,13.882,131.335,779.734,29.571,4.469,67.673,17.334,8.815,327.346,41.327,421.4,12.504,3751.909,63.474,10.28,319.683,3701.894,87.0,2708.811,196.965,103.983,339.991,6043.986,4088.16,127.617,1101.864,110.983,153.485,1128.267,103.006,668.306,503.306,3795.819,8.797,728.338,2144.743,4018.388,4.822,1326.354,5021.94,3378.576,8.937,4559.435,3162.916,1301.873
Sample26,365.491,28.393,7.943,5.928,1050.03,2605.404,322.872,794.459,139.996,3316.865,1207.824,3.922,2044.032,3.648,653.427,12.868,2346.796,123.526,45.157,53.702,4.322,8.699,652.128,374.471,305.843,45.197,4588.814,3158.76,457.916,366.869,652.957,71.997,12.944,663.61,138.094,39.86,154.959,2266.381,3615.787,50.095,213.534,40.18,354.294,38.251,59.087,2657.199,14.096,380.793,8.297,1829.797,712.658,17.694,1291.127,7.636,42.161,13.243,121.12,854.565,29.044,5.164,72.676,16.519,8.465,328.485,44.554,442.134,15.592,3623.986,66.203,9.92,283.911,3595.191,71.302,2642.51,170.197,116.093,393.607,5084.21,3952.885,121.279,1022.109,95.742,136.599,1151.473,95.175,472.025,657.032,3324.311,10.491,673.164,2198.704,3383.444,4.188,1310.376,5574.176,3231.264,8.761,4642.4,2773.306,1462.045
Sample27,299.284,21.874,7.394,6.102,974.3,2553.915,240.87,917.084,150.967,3340.352,1123.135,3.435,2223.505,4.602,722.224,11.342,1934.288,124.485,38.427,54.198,5.676,7.554,617.699,456.417,245.152,47.701,6004.43,2739.692,487.61,366.894,614.923,68.115,14.545,562.696,125.31,35.462,133.896,2443.422,3791.657,45.847,248.934,46.259,290.883,34.163,50.691,2629.837,11.219,475.701,7.608,1858.653,568.262,22.055,1520.526,6.34,39.286,13.547,140.531,773.024,26.917,3.911,70.736,15.65,6.646,326.432,42.661,319.244,13.791,4093.093,65.354,10.593,302.032,3902.681,80.388,2624.177,177.979,101.807,374.339,5571.508,3762.635,133.326,991.951,106.364,93.697,1165.121,79.398,567.333,544.841,3595.771,9.478,733.051,2081.43,2972.791,5.626,1455.546,5420.106,3247.033,8.793,4494.392,2849.142,1305.556
Sample28,335.05,28.792,7.254,6.192,1162.584,2547.377,297.393,950.717,136.701,3421.507,1449.263,3.771,2348.631,4.172,775.26,13.496,2228.758,102.169,45.932,66.39,4.54,11.865,577.594,379.505,277.009,50.117,5165.465,4002.734,353.188,293.218,589.121,87.193,13.998,748.1,131.884,31.623,143.692,2392.136,3688.654,43.911,238.385,48.023,309.618,28.058,47.648,2501.512,14.071,469.685,6.987,1710.702,836.61,21.139,1463.396,7.351,36.831,12.982,141.848,846.381,24.78,4.581,62.178,18.087,7.656,310.839,44.3,414.074,16.254,3750.565,65.919,8.484,302.396,3562.987,85.309,2427.927,165.989,102.804,356.679,5581.638,3631.673,125.475,1050.566,108.301,101.618,1086.253,84.714,533.44,524.072,3717.114,10.418,679.406,2276.595,3835.814,5.035,1321.747,5461.473,3801.738,7.236,4344.356,2686.602,1438.41
Sample29,404.709,26.918,6.163,6.146,984.447,2942.027,316.307,846.291,123.383,3234.245,1352.899,2.677,1729.232,2.194,789.668,16.066,2475.57,142.696,39.371,58.816,4.463,10.604,588.074,420.5,299.315,45.17,5947.889,2850.588,357.377,359.142,532.159,78.38,13.041,714.405,134.15,42.865,163.167,2195.082,3837.212,45.763,227.92,45.7,353.855,34.65,68.208,2809.003,17.615,437.7,7.623,1768.829,650.698,21.862,1524.331,8.371,38.556,14.484,129.182,896.138,25.496,4.337,63.801,16.729,9.267,329.157,42.099,445.91,16.504,3838.003,67.707,10.354,380.89,3693.339,80.421,2599.945,186.1,106.569,353.939,5928.307,3964.746,108.584,1114.362,110.852,135.139,1004.343,79.421,479.988,610.817,3422.994,10.85,731.329,1858.504,3568.484,4.876,1302.322,4685.176,3723.766,7.591,4476.214,2744.251,1383.212
